x,actlevel,week,season
Week:2  Year:2014-15,6.660377358,2,201415
Week:3  Year:2014-15,7.226415094,3,201415
Week:4  Year:2014-15,6.754716981,4,201415
Week:5  Year:2014-15,5.886792453,5,201415
Week:6  Year:2014-15,5.056603774,6,201415
Week:7  Year:2014-15,4.433962264,7,201415
Week:8  Year:2014-15,3.698113208,8,201415
Week:9  Year:2014-15,3.471698113,9,201415
Week:10  Year:2014-15,3.132075472,10,201415
Week:11  Year:2014-15,2.716981132,11,201415
Week:12  Year:2014-15,2.339622642,12,201415
Week:13  Year:2014-15,2.132075472,13,201415
Week:14  Year:2014-15,1.773584906,14,201415
Week:15  Year:2014-15,1.433962264,15,201415
Week:16  Year:2014-15,1.283018868,16,201415
Week:17  Year:2014-15,1.358490566,17,201415
Week:18  Year:2014-15,1.226415094,18,201415
Week:19  Year:2014-15,1.226415094,19,201415
Week:20  Year:2014-15,1.169811321,20,201415
Week:21  Year:2014-15,1.169811321,21,201415
Week:22  Year:2014-15,1.056603774,22,201415
Week:23  Year:2014-15,1,23,201415
Week:24  Year:2014-15,1,24,201415
Week:25  Year:2014-15,1.056603774,25,201415
Week:26  Year:2014-15,1.037735849,26,201415
Week:27  Year:2014-15,1,27,201415
Week:28  Year:2014-15,0.981132075,28,201415
Week:29  Year:2014-15,1,29,201415
Week:30  Year:2014-15,0.981132075,30,201415
Week:31  Year:2014-15,1.038461538,31,201415
Week:32  Year:2014-15,1,32,201415
Week:33  Year:2014-15,1,33,201415
Week:34  Year:2014-15,0.980769231,34,201415
Week:35  Year:2014-15,1.096153846,35,201415
Week:36  Year:2014-15,1.038461538,36,201415
Week:37  Year:2014-15,1.019230769,37,201415
Week:38  Year:2014-15,1.057692308,38,201415
Week:39  Year:2014-15,1.134615385,39,201415
Week:40  Year:2014-15,1.283018868,40,201415
Week:41  Year:2014-15,1.396226415,41,201415
Week:42  Year:2014-15,1.377358491,42,201415
Week:43  Year:2014-15,1.377358491,43,201415
Week:44  Year:2014-15,1.41509434,44,201415
Week:45  Year:2014-15,1.603773585,45,201415
Week:46  Year:2014-15,1.754716981,46,201415
Week:47  Year:2014-15,2.20754717,47,201415
Week:48  Year:2014-15,2.830188679,48,201415
Week:49  Year:2014-15,3.188679245,49,201415
Week:50  Year:2014-15,4.641509434,50,201415
Week:51  Year:2014-15,6.20754717,51,201415
Week:52  Year:2014-15,7.452830189,52,201415
Week:53  Year:2014-15,7.301886792,53,201415
Week:1  Year:2015-16,1.716981132,1,201516
Week:2  Year:2015-16,1.735849057,2,201516
Week:3  Year:2015-16,1.981132075,3,201516
Week:4  Year:2015-16,2.283018868,4,201516
Week:5  Year:2015-16,2.490566038,5,201516
Week:6  Year:2015-16,3.301886792,6,201516
Week:7  Year:2015-16,4.037735849,7,201516
Week:8  Year:2015-16,4.471698113,8,201516
Week:9  Year:2015-16,4.924528302,9,201516
Week:10  Year:2015-16,5.773584906,10,201516
Week:11  Year:2015-16,4.716981132,11,201516
Week:12  Year:2015-16,3.735849057,12,201516
Week:13  Year:2015-16,3.283018868,13,201516
Week:14  Year:2015-16,2.490566038,14,201516
Week:15  Year:2015-16,2.226415094,15,201516
Week:16  Year:2015-16,2.094339623,16,201516
Week:17  Year:2015-16,1.603773585,17,201516
Week:18  Year:2015-16,1.452830189,18,201516
Week:19  Year:2015-16,1.20754717,19,201516
Week:20  Year:2015-16,1.169811321,20,201516
Week:21  Year:2015-16,1.226415094,21,201516
Week:22  Year:2015-16,1.094339623,22,201516
Week:23  Year:2015-16,1.056603774,23,201516
Week:24  Year:2015-16,1.056603774,24,201516
Week:25  Year:2015-16,0.981132075,25,201516
Week:26  Year:2015-16,1.037735849,26,201516
Week:27  Year:2015-16,0.981132075,27,201516
Week:28  Year:2015-16,0.962264151,28,201516
Week:29  Year:2015-16,1.018867925,29,201516
Week:30  Year:2015-16,0.962264151,30,201516
Week:31  Year:2015-16,0.962264151,31,201516
Week:32  Year:2015-16,0.981132075,32,201516
Week:33  Year:2015-16,0.981132075,33,201516
Week:34  Year:2015-16,1.018867925,34,201516
Week:35  Year:2015-16,1.056603774,35,201516
Week:36  Year:2015-16,1.075471698,36,201516
Week:37  Year:2015-16,1.056603774,37,201516
Week:38  Year:2015-16,1.018867925,38,201516
Week:39  Year:2015-16,1.132075472,39,201516
Week:40  Year:2015-16,1.038461538,40,201516
Week:41  Year:2015-16,1.075471698,41,201516
Week:42  Year:2015-16,1.188679245,42,201516
Week:43  Year:2015-16,1.132075472,43,201516
Week:44  Year:2015-16,1.226415094,44,201516
Week:45  Year:2015-16,1.320754717,45,201516
Week:46  Year:2015-16,1.301886792,46,201516
Week:47  Year:2015-16,1.698113208,47,201516
Week:48  Year:2015-16,1.41509434,48,201516
Week:49  Year:2015-16,1.509433962,49,201516
Week:50  Year:2015-16,1.622641509,50,201516
Week:51  Year:2015-16,2.113207547,51,201516
Week:52  Year:2015-16,2.150943396,52,201516
Week:1  Year:2016-17,3.830188679,1,201617
Week:2  Year:2016-17,3.849056604,2,201617
Week:3  Year:2016-17,5.037735849,3,201617
